,NU_INSCRICAO,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_ST_CONCLUSAO,IN_TREINEIRO,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,NU_NOTA_REDACAO,ESC_PAI,ESC_MAE,PESSOAS_RESIDENCIA,BANHEIRO,QUARTOS,CARRO,CELULAR,FIXO,COMPUTADOR,INTERNET,Q026,TIPO_EM,RENDA,NOTA_TESTES,NOTA_ENEM
185571,170001503176,SP,20.0,F,0.0,1,0,431.3,506.6,463.4,527.6,0,600.0,H,B,5.0,B,D,A,C,A,A,A,A,A,1791.0503498485562,1928.9,2528.9
142461,170000047229,SP,20.0,M,0.0,1,0,647.0,639.6,608.9,682.8,0,740.0,C,E,3.0,B,C,B,D,B,B,B,A,A,2011.458038193134,2578.3,3318.3
87322,170000830459,MA,30.0,M,0.0,1,0,475.1,470.5,461.8,365.8,1,0.0,B,F,3.0,B,C,A,C,A,A,A,A,A,1159.2247445590313,1773.2,1773.2
152220,170003751762,SP,17.0,F,0.0,2,0,443.2,442.4,451.5,614.7,0,640.0,D,B,4.0,B,C,A,C,B,B,B,B,A,2599.8756291288864,1951.8,2591.8
88266,170002263936,MG,34.0,F,1.0,1,0,541.2,594.9,530.1,394.4,0,400.0,B,B,2.0,B,C,A,C,A,C,B,A,A,406.855355256036,2060.6,2460.6
135665,170004410202,ES,33.0,F,0.0,1,0,456.4,497.6,398.4,453.2,0,560.0,B,A,2.0,B,D,A,B,A,B,B,A,A,2613.3334606819362,1805.6,2365.600000000001
182428,170001178579,RN,17.0,M,0.0,2,0,496.0,358.8,452.5,434.5,1,560.0,E,E,2.0,B,C,A,D,A,B,B,C,E,112.23615732511463,1741.8,2301.8
83049,170004190129,PA,18.0,M,0.0,2,0,498.4,547.6,497.5,450.6,1,680.0,E,H,4.0,B,C,A,C,A,A,A,B,A,585.1369324049165,1994.1,2674.1
53058,170000308255,SP,17.0,M,0.0,2,0,403.4,433.0,479.5,576.0,1,520.0,E,E,6.0,B,D,A,E,A,B,B,B,A,1860.911894709632,1891.9,2411.9
98511,170000078604,CE,21.0,F,0.0,2,0,545.3,505.6,455.3,462.2,0,320.0,D,D,4.0,B,B,A,C,A,A,A,B,A,1252.8891897598069,1968.4,2288.4
170208,170005129116,RS,25.0,F,0.0,1,0,517.4,629.1,623.1,672.7,0,580.0,C,C,3.0,B,B,B,C,A,B,B,A,A,4555.809138652926,2442.3,3022.3
114380,170004460889,PA,23.0,F,0.0,1,0,391.4,525.7,424.2,593.5,1,500.0,A,A,6.0,A,A,A,A,A,A,A,A,A,975.9556808252717,1934.8,2434.8
6982,170004536106,RR,15.0,M,0.0,3,1,608.3,657.2,630.8,572.4,1,680.0,G,G,5.0,B,B,B,E,B,E,B,C,D,9989.979701622193,2468.7,3148.7
24691,170005152594,RS,16.0,F,0.0,3,1,539.1,607.9,551.9,631.8,0,620.0,C,B,3.0,B,D,B,C,A,B,B,C,A,1727.2134233586248,2330.7,2950.7
14902,170002446187,BA,18.0,F,0.0,1,0,614.4,649.1,597.1,555.1,0,620.0,E,F,3.0,C,D,C,E,B,C,B,A,D,3705.5132334613795,2415.7,3035.7
180743,170005974968,RJ,18.0,F,1.0,1,0,543.4,463.6,500.3,493.7,1,460.0,C,D,2.0,B,B,A,C,B,B,B,A,A,736.1476235536109,2001.0,2461.0
177110,170004185691,RS,16.0,F,0.0,2,0,612.6,594.5,605.7,621.9,0,700.0,F,F,2.0,D,D,B,C,B,C,B,B,D,7703.190913569425,2434.7,3134.7
134404,170002920481,SP,19.0,M,0.0,2,0,445.2,491.5,505.4,522.8,1,420.0,D,D,4.0,B,C,A,C,B,B,B,B,D,1774.5829776665867,1964.9,2384.9
138561,170002303688,MG,18.0,F,0.0,2,0,526.6,591.4,498.6,476.5,1,540.0,E,G,3.0,D,D,B,E,B,D,B,B,D,6480.701411879221,2093.1,2633.1
196680,170005147746,SP,18.0,M,0.0,1,0,470.7,455.2,454.7,396.7,0,480.0,E,E,4.0,B,C,B,E,B,B,B,A,A,962.0768561069667,1777.3,2257.3
192493,170005892641,RJ,17.0,M,0.0,2,0,662.9,668.9,627.2,883.5,0,880.0,F,G,4.0,D,D,B,E,B,B,B,B,D,12188.882554826852,2842.5,3722.5
129091,170001333748,MG,17.0,M,0.0,2,0,442.7,523.1,459.8,618.7,1,520.0,F,H,4.0,D,D,B,D,A,C,B,B,B,2098.7169681746827,2044.3,2564.3
194676,170000101976,PE,19.0,M,0.0,1,0,560.4,474.1,552.5,503.3,0,520.0,E,E,4.0,B,D,A,E,A,C,B,A,A,1464.3154224247867,2090.3,2610.3
148787,170003967267,PR,18.0,M,0.0,2,0,478.9,481.3,488.3,459.6,0,420.0,D,E,4.0,B,C,B,C,A,B,A,B,A,2184.6366671838987,1908.1,2328.1
112670,170001618188,MS,21.0,M,0.0,1,0,542.7,560.1,484.8,450.2,0,0.0,E,D,4.0,C,C,B,B,A,B,B,A,A,1797.5914265428387,2037.8,2037.8
52501,170000823255,ES,29.0,F,0.0,1,0,601.4,602.3,632.9,504.3,1,700.0,C,C,2.0,B,C,A,B,B,B,B,A,A,1129.5899289873544,2340.9,3040.9
32793,170001686052,RS,24.0,M,0.0,1,0,534.5,590.2,588.6,616.0,0,0.0,H,E,1.0,B,C,A,B,A,B,A,A,C,1237.4058905347736,2329.3,2329.3
137301,170006608218,TO,25.0,M,,1,0,392.0,551.4,504.0,527.8,1,520.0,E,E,6.0,B,D,A,D,A,A,A,A,A,1141.5848060926162,1975.2,2495.2
69331,170005673849,SC,17.0,F,0.0,2,0,579.9,562.6,603.6,741.0,0,640.0,B,F,3.0,B,D,A,D,B,D,B,B,D,7729.921304954674,2487.1,3127.1
134877,170001308111,MT,18.0,F,0.0,2,0,481.9,472.6,511.3,551.9,0,640.0,F,E,4.0,B,C,B,D,A,B,B,B,A,1233.4039616625964,2017.7,2657.7
27770,170002162198,ES,18.0,F,0.0,2,0,402.1,460.2,410.1,399.6,1,320.0,H,E,5.0,B,C,A,B,B,B,A,B,A,586.5989579563109,1672.0,1992.0
61389,170005736353,BA,17.0,F,0.0,2,0,575.0,572.5,522.0,455.3,1,740.0,A,H,6.0,B,C,A,B,A,A,A,B,E,1223.2014727006915,2124.8,2864.8
69223,170002310306,MG,20.0,M,0.0,1,0,553.7,602.8,571.3,560.5,1,480.0,C,C,5.0,C,D,A,D,A,A,B,A,A,2468.691173516677,2288.3,2768.3
22689,170002075567,RJ,18.0,M,0.0,2,0,578.0,646.7,606.0,733.3,0,640.0,E,F,4.0,C,D,B,E,A,B,B,B,D,7414.887002897242,2564.0,3204.0
87979,170002689061,GO,20.0,F,0.0,1,0,503.2,476.6,556.3,406.1,0,600.0,D,E,3.0,C,C,B,B,B,B,B,A,D,681.7300517399227,1942.2,2542.2
81240,170005547925,BA,17.0,F,0.0,2,0,576.1,583.0,545.1,525.8,0,660.0,E,F,4.0,B,C,B,E,B,B,B,B,D,1491.7726767710308,2230.0,2890.0
14732,170003629699,MG,19.0,F,0.0,1,0,497.4,537.6,508.1,512.5,0,640.0,C,D,3.0,B,C,B,C,B,B,B,A,A,1339.50897536984,2055.6,2695.6
113884,170005374669,PR,19.0,F,0.0,1,0,607.6,607.3,523.0,525.7,1,720.0,F,G,3.0,C,C,B,D,A,C,B,A,A,4802.205860265603,2263.600000000001,2983.6000000000013
160922,170000153059,PR,17.0,M,0.0,2,0,505.3,0.0,528.4,424.2,1,580.0,E,E,4.0,B,C,B,C,B,B,B,B,A,1944.3239983292399,1457.9,2037.9
143851,170004255128,PA,24.0,F,,1,0,458.8,515.4,482.8,575.2,1,420.0,B,C,5.0,B,C,A,D,A,A,B,A,A,171.4997872279385,2032.2,2452.2
37496,170001998755,SP,17.0,M,0.0,2,0,393.7,402.7,320.9,412.4,0,320.0,E,E,4.0,B,C,A,B,B,B,B,B,A,1067.5478086657004,1529.6999999999994,1849.7
893,170004281316,SC,16.0,M,0.0,3,1,415.9,386.1,455.4,464.8,0,400.0,D,D,4.0,B,D,B,D,B,A,A,C,A,1857.2392423298727,1722.2,2122.2
850,170004036627,PE,25.0,M,1.0,1,0,523.5,575.3,546.9,695.4,1,600.0,A,G,2.0,D,D,A,C,A,B,B,A,A,2521.4557001951325,2341.1,2941.1
191924,170002363299,SP,17.0,F,0.0,2,0,630.7,621.2,653.5,565.0,0,800.0,F,F,3.0,D,E,C,D,B,C,B,B,D,16657.368847572332,2470.4,3270.4
164190,170001764127,RS,17.0,M,0.0,2,0,569.4,593.0,561.8,793.4,0,520.0,G,G,4.0,D,D,C,D,B,B,B,B,D,5180.0072036253005,2517.6,3037.6
12062,170006008272,MG,17.0,M,0.0,2,0,479.7,500.2,517.7,562.0,0,700.0,E,E,3.0,B,D,A,D,A,B,B,B,A,968.7318866583483,2059.6,2759.6
51404,170005379537,SP,19.0,F,0.0,1,0,636.7,610.6,573.2,530.9,1,840.0,F,F,3.0,C,C,B,C,A,B,B,A,D,4789.8253279990295,2351.4,3191.4
77041,170004966133,PR,17.0,F,0.0,2,0,505.5,510.9,472.5,436.5,0,500.0,G,G,5.0,C,D,C,E,B,D,B,B,A,10210.28461595594,1925.4,2425.4
27994,170001527209,BA,19.0,M,0.0,1,0,409.4,546.0,589.0,415.8,1,560.0,C,E,3.0,B,C,A,D,A,B,B,A,A,407.8413101781929,1960.2,2520.2
171769,170005759578,AL,22.0,F,0.0,3,0,472.8,429.1,469.8,426.0,1,460.0,A,H,3.0,B,B,A,B,A,A,A,B,A,0.0,1797.7,2257.7
182275,170004489182,SC,22.0,F,0.0,4,0,460.9,528.4,534.3,511.7,0,580.0,C,C,3.0,B,C,B,C,A,A,B,B,A,1105.2978198358098,2035.3,2615.3
48701,170003931255,RJ,21.0,F,0.0,2,0,427.0,386.6,563.1,459.1,1,540.0,E,C,5.0,B,D,A,D,A,B,B,B,A,1028.8972484856326,1835.8,2375.8
16635,170000701194,RJ,23.0,M,0.0,1,0,516.4,513.1,513.3,480.4,1,460.0,B,C,2.0,B,B,A,B,A,A,A,A,A,0.0,2023.2,2483.2
48126,170003929577,SP,16.0,F,0.0,3,1,512.9,480.0,378.2,445.4,0,0.0,B,D,4.0,B,D,A,D,B,B,B,C,A,2638.451096721517,1816.5,1816.5
178125,170002873113,SP,18.0,F,0.0,1,0,473.2,448.7,411.2,448.0,0,380.0,A,E,4.0,C,C,A,B,B,A,B,A,A,4557.510233807594,1781.1,2161.1
23862,170006052716,RS,16.0,F,0.0,2,0,569.9,650.7,575.5,443.2,0,760.0,E,F,1.0,B,B,A,B,A,B,B,B,A,5082.95160670261,2239.3,2999.3
69742,170004852475,SP,21.0,M,0.0,1,0,442.5,459.0,537.5,481.7,1,460.0,B,E,1.0,B,B,A,B,A,A,A,A,A,1367.394026059169,1920.7,2380.7
134037,170002282819,SP,19.0,F,0.0,1,0,525.6,476.3,480.7,440.4,1,600.0,E,B,7.0,B,C,A,D,A,A,B,A,A,2027.019874518555,1923.0,2523.0
42761,170002287727,BA,18.0,F,0.0,1,0,423.3,405.9,417.0,369.7,1,420.0,B,E,4.0,B,C,A,C,A,A,A,A,A,38.24335497218907,1615.9,2035.9
27863,170006668876,PA,25.0,F,,1,0,505.2,507.6,529.0,554.0,1,500.0,B,D,2.0,B,B,A,C,A,A,B,A,C,541.6363345554947,2095.8,2595.8
176715,170003859496,RJ,18.0,F,0.0,2,0,557.9,583.1,560.5,523.5,1,600.0,F,E,2.0,B,C,A,C,A,A,B,B,A,323.6397293721032,2225.0,2825.0
109503,170001250460,SC,18.0,F,0.0,2,0,567.4,575.1,559.2,573.1,0,600.0,E,C,4.0,B,C,B,C,A,B,B,B,A,2824.669954877479,2274.8,2874.8
14334,170000090574,PR,18.0,M,0.0,2,0,630.1,621.1,589.8,783.2,0,700.0,G,G,4.0,E,D,C,E,B,D,B,B,A,14678.355074543568,2624.2,3324.2
125531,170005020535,MT,17.0,F,0.0,2,0,455.7,410.6,429.8,530.2,1,580.0,H,H,3.0,B,C,A,D,A,A,B,B,A,2241.382024584873,1826.3,2406.3
58551,170005853751,MA,21.0,F,0.0,1,0,409.8,387.8,508.8,481.6,1,500.0,D,D,6.0,B,C,A,E,A,A,B,A,A,1337.6585142317106,1788.0,2288.0
129019,170000701747,AL,20.0,M,0.0,1,0,484.5,583.7,464.8,644.0,1,700.0,E,E,3.0,C,D,A,D,A,B,B,A,A,1607.7817039349984,2177.0,2877.0
48527,170001927155,SP,18.0,M,0.0,2,0,605.0,620.3,586.6,514.9,0,760.0,C,C,4.0,B,B,B,E,A,B,B,B,A,1550.3575842720957,2326.8,3086.8
23891,170002463100,MG,54.0,F,0.0,1,0,455.2,397.5,374.4,468.9,0,540.0,E,E,4.0,B,D,A,B,A,A,A,A,A,0.0,1696.0,2236.0
194369,170004605560,MA,19.0,F,,2,0,422.5,453.8,383.2,406.0,1,460.0,B,B,4.0,B,C,A,A,A,A,A,B,A,485.9235712417705,1665.5,2125.5
185719,170005085018,RJ,17.0,F,0.0,2,0,597.5,526.4,544.1,596.1,1,760.0,D,F,3.0,B,C,B,C,A,A,B,B,E,1045.6436857528718,2264.1,3024.1
11208,170001852161,PE,18.0,M,0.0,1,0,614.1,586.3,542.3,583.6,0,920.0,E,E,5.0,B,C,A,D,A,B,A,A,A,1443.6441303134632,2326.3,3246.3
104322,170003842831,SP,19.0,F,0.0,1,0,504.0,356.0,383.5,414.1,0,0.0,E,D,5.0,B,D,C,E,B,C,B,A,A,2869.0085262705747,1657.6,1657.6
41855,170006124790,SP,21.0,F,0.0,1,0,586.4,585.7,582.6,661.2,0,500.0,F,E,4.0,D,D,C,E,B,B,B,A,A,325.29303407450243,2415.9,2915.9
127643,170002628927,RS,18.0,F,,1,0,559.2,445.4,518.2,633.3,1,680.0,E,D,3.0,B,C,B,D,A,B,B,A,A,5387.092954217915,2156.100000000001,2836.1000000000013
62469,170004147472,AL,20.0,M,0.0,1,0,424.9,563.6,540.9,487.2,0,580.0,H,D,3.0,B,D,B,E,B,B,A,A,A,838.9464744882408,2016.6,2596.600000000001
177746,170000197921,CE,19.0,M,0.0,2,0,466.5,394.0,427.6,502.1,1,460.0,D,D,3.0,B,B,A,C,A,A,A,B,A,257.074914183713,1790.1999999999994,2250.2
198359,170001058152,PB,33.0,M,0.0,1,0,595.2,506.6,514.6,488.0,0,0.0,H,H,5.0,B,C,A,C,A,A,B,A,A,1429.3861237213782,2104.4,2104.4
129177,170002301845,CE,17.0,M,0.0,2,0,378.2,414.1,500.0,533.5,1,560.0,B,C,4.0,B,B,A,C,A,A,A,B,A,1059.5606445151784,1825.8,2385.8
34393,170005548014,AM,22.0,F,0.0,1,0,421.1,573.8,532.5,472.1,0,560.0,E,E,5.0,B,B,A,B,A,A,A,A,A,343.0965358460898,1999.5,2559.5
131203,170000884634,MG,18.0,F,0.0,1,0,504.5,574.5,511.8,559.5,1,560.0,C,F,3.0,B,D,A,D,A,B,B,A,A,1219.6265353205224,2150.3,2710.3
91935,170002486296,MG,17.0,M,0.0,3,1,492.3,524.8,499.4,545.9,0,500.0,A,D,4.0,B,C,B,D,B,B,B,C,A,714.972322978258,2062.4,2562.4
147663,170001740641,SP,19.0,F,0.0,1,0,678.2,640.9,631.4,865.0,0,700.0,E,E,3.0,B,C,B,C,B,B,B,A,D,2836.759205087172,2815.5,3515.5
52487,170000405270,TO,19.0,F,0.0,2,0,476.5,410.4,326.0,564.6,0,340.0,G,E,4.0,B,D,A,C,A,A,A,B,A,1233.808868412039,1777.5,2117.5
17024,170004540445,MG,23.0,M,0.0,1,0,537.3,563.1,374.2,618.0,1,600.0,E,E,4.0,B,B,A,D,A,B,B,A,A,2063.5525130518963,2092.600000000001,2692.600000000001
82278,170001033897,RJ,20.0,M,0.0,2,0,628.2,559.8,586.2,616.0,1,560.0,E,E,3.0,C,C,B,D,B,C,B,B,A,1572.2997336588696,2390.2,2950.2
133793,170000010468,GO,18.0,F,0.0,1,0,710.6,700.3,649.1,907.9,0,780.0,F,G,4.0,D,D,C,E,B,E,B,A,D,9795.47405696378,2967.9,3747.9
166730,170003353979,MA,20.0,F,0.0,1,0,463.3,409.5,454.6,400.8,1,460.0,B,D,6.0,B,E,A,B,A,B,A,A,A,1077.5257381095912,1728.2,2188.2
166420,170002829090,MG,39.0,F,0.0,2,0,534.3,556.9,481.8,434.9,1,400.0,C,B,4.0,B,C,A,B,A,B,A,B,A,25.36612264665112,2007.9,2407.9
140651,170004851482,MG,26.0,M,0.0,1,0,408.4,484.2,352.2,506.7,0,0.0,B,E,3.0,B,D,A,C,A,B,B,A,A,260.66277128600467,1751.5,1751.5
101194,170006302705,SE,18.0,F,0.0,2,0,452.6,422.0,380.8,386.8,1,480.0,B,B,6.0,B,D,A,D,A,A,A,B,A,436.42282271389814,1642.2,2122.2
164841,170001137742,MA,18.0,M,0.0,2,0,457.1,471.8,380.9,567.3,0,440.0,E,F,5.0,B,C,B,D,A,B,B,B,A,2211.676575277511,1877.1,2317.100000000001
169313,170004565525,SP,16.0,F,0.0,3,1,518.9,485.8,558.3,540.0,0,500.0,C,E,4.0,B,C,A,D,B,B,B,C,A,0.0,2103.0,2603.0
57596,170000441078,RO,19.0,M,0.0,1,0,435.7,445.6,552.7,507.0,1,360.0,C,E,5.0,B,C,A,E,A,B,B,A,A,1773.3449782086386,1941.0,2301.0
149038,170002870183,GO,17.0,M,0.0,2,0,546.3,544.4,518.9,444.7,1,640.0,E,E,4.0,C,D,B,E,B,B,B,B,A,3284.935472026952,2054.3,2694.3
119110,170002924821,MG,22.0,F,0.0,1,0,615.6,646.2,607.4,665.6,0,620.0,E,F,4.0,E,D,C,E,B,D,B,A,D,16099.121311776173,2534.8,3154.8
40508,170004950207,MG,23.0,F,,1,0,432.6,473.2,439.7,436.5,1,420.0,D,E,3.0,B,B,A,B,A,A,A,A,A,0.0,1782.0,2202.0
60085,170002487054,BA,18.0,F,0.0,1,0,441.4,588.3,602.2,477.4,1,740.0,E,D,4.0,B,C,A,B,B,B,B,A,D,260.8823715969199,2109.3,2849.3
86207,170005012152,PA,16.0,F,0.0,3,1,607.7,492.0,510.3,538.9,0,0.0,E,F,4.0,B,D,B,B,A,C,B,C,E,4334.4482573009445,2148.9,2148.9
196144,170005057146,MG,18.0,F,0.0,1,0,434.8,460.0,483.1,431.7,0,480.0,D,D,5.0,B,D,A,C,B,C,B,A,A,1608.7290958366932,1809.6,2289.600000000001
71931,170000203209,CE,17.0,F,0.0,2,0,551.8,604.5,554.6,657.5,1,740.0,B,E,3.0,B,C,A,C,A,A,A,B,A,851.7619688604077,2368.4,3108.4
83217,170004621650,RJ,19.0,M,0.0,2,0,467.4,500.6,507.1,557.0,0,600.0,E,E,3.0,C,D,B,D,B,B,B,B,D,2753.287586169488,2032.1,2632.1
7573,170001128513,MA,18.0,M,0.0,2,0,464.4,349.7,380.3,400.7,0,400.0,B,D,4.0,B,B,A,C,A,A,B,B,A,510.63280434915566,1595.1,1995.1
